"Социальные сети","Социальные сети"
"Мои аккаунты","Мои аккаунты"
"Привязать уккаунт:","Привязать уккаунт:"
"Привязанные аккаунты:","Привязанные аккаунты:"
"Привяжите ваши аккаунты социальных сетей к личному кабинету для быстрой авторизации.","Привяжите ваши аккаунты социальных сетей к личному кабинету для быстрой авторизации."
"Здесь Вы можете создать привязку к аккаунту, кликнув по значку.","Здесь Вы можете создать привязку к аккаунту, кликнув по значку."
"Здесь Вы можете удалить привязку к аккаунту, кликнув по значку.","Здесь Вы можете удалить привязку к аккаунту, кликнув по значку."
"Аккаунт успешно добавлен","Аккаунт успешно добавлен"
"Аккаунт успешно удалён","Аккаунт успешно удалён"
"Вход успешно выполнен","Вход успешно выполнен"
"Ошибка при работе с БД","Ошибка при работе с БД"
"Попробуйте ещё раз. В случае, если эта ошибка повторится, пожалуйста, сообщите о ней администрации сайта","Попробуйте ещё раз. В случае, если эта ошибка повторится, пожалуйста, сообщите о ней администрации сайта"
"Подтверждение аккаунта","Подтверждение аккаунта"
"Электронный адрес данного аккаунта совпадает с электронным адресом существующего пользователя. <br>Требуется подтверждение на владение указанным email.","Электронный адрес данного аккаунта совпадает с электронным адресом существующего пользователя. <br>Требуется подтверждение на владение указанным email."
"Синхронизация аккаунтов","Синхронизация аккаунтов"
"С данным аккаунтом уже связаны данные из другой социальной сети. <br>Требуется привязка новой учётной записи социальной сети к этому аккаунту.","С данным аккаунтом уже связаны данные из другой социальной сети. <br>Требуется привязка новой учётной записи социальной сети к этому аккаунту."
"Данный аккаунт привязан к другому пользователю. </br>Вы не можете использовать этот аккаунт","Данный аккаунт привязан к другому пользователю. </br>Вы не можете использовать этот аккаунт"
"Произошла ошибка при авторизации.","Произошла ошибка при авторизации."
"Не был получен токен uLogin.","Не был получен токен uLogin."
"Не удалось получить данные о пользователе с помощью токена.","Не удалось получить данные о пользователе с помощью токена."
"Данные о пользователе содержат неверный формат.","Данные о пользователе содержат неверный формат."
"<i>ERROR</i>: адрес хоста не совпадает с оригиналом %s","<i>ERROR</i>: адрес хоста не совпадает с оригиналом %s"
"<i>ERROR</i>: время жизни токена истекло","<i>ERROR</i>: время жизни токена истекло"
"<i>ERROR</i>: неверный токен","<i>ERROR</i>: неверный токен"
"<i>ERROR</i>: ","<i>ERROR</i>: "
"В возвращаемых данных отсутствует переменная <b>%s</b>.","В возвращаемых данных отсутствует переменная <b>%s</b>."
"Ошибка при создании адреса","Ошибка при создании адреса"
"Ошибка при входе","Ошибка при входе"
"Удаление аккаунта","Удаление аккаунта"
"Ошибка при удалении аккаунта","Ошибка при удалении аккаунта"
"Удаление аккаунта <b>%s</b> успешно выполнено","Удаление аккаунта <b>%s</b> успешно выполнено"
"Социальные сети","Социальные сети"
"Мои аккаунты","Мои аккаунты"
"Информация о uLogin","Информация о uLogin"
"Настройки uLogin","Настройки uLogin"
"ID виджета для входа","ID виджета для входа"
"ID виджета синхронизации аккаунтов","ID виджета синхронизации аккаунтов"
"Группа пользователей","Группа пользователей"
"Укажите значение параметра ""uLogin ID"" Вашего виджета","Укажите значение параметра ""uLogin ID"" Вашего виджета"
"Строка типа ""Войти с помощью:"" перед формой","Строка типа ""Войти с помощью:"" перед формой"
"Выберите группу, в которую должны определяться зарегистрировавшиеся с помошью uLogin пользователи","Выберите группу, в которую должны определяться зарегистрировавшиеся с помошью uLogin пользователи"
"<p><a href=""http://ulogin.ru"" target=""_blank"">uLogin</a> — это инструмент, который позволяет пользователям получить единый доступ к различным Интернет-сервисам без необходимости повторной регистрации, а владельцам сайтов — получить дополнительный приток клиентов из социальных сетей и популярных порталов (Google, Яндекс, Mail.ru, ВКонтакте, Facebook и др.)</p><p> </p><p>Чтобы создать свой виджет для входа на сайт достаточно зайти в Личный Кабинет (ЛК) на сайте <a href=""http://ulogin.ru/lk.php"" target=""_blank"">uLogin</a>, добавить свой сайт к списку ""Мои сайты"" и на вкладке ""Виджеты"" добавить новый виджет. Вы можете редактировать свой виджет самостоятельно.</p> <p><b style=""color: red;"">Важно! </b>Для успешной работы плагина необходимо включить в обязательных полях профиля поле <b>Еmail</b> в Личном кабинете uLogin.</p>","<p><a href=""http://ulogin.ru"" target=""_blank"">uLogin</a> — это инструмент, который позволяет пользователям получить единый доступ к различным Интернет-сервисам без необходимости повторной регистрации, а владельцам сайтов — получить дополнительный приток клиентов из социальных сетей и популярных порталов (Google, Яндекс, Mail.ru, ВКонтакте, Facebook и др.)</p><p> </p><p>Чтобы создать свой виджет для входа на сайт достаточно зайти в Личный Кабинет (ЛК) на сайте <a href=""http://ulogin.ru/lk.php"" target=""_blank"">uLogin</a>, добавить свой сайт к списку ""Мои сайты"" и на вкладке ""Виджеты"" добавить новый виджет. Вы можете редактировать свой виджет самостоятельно.</p> <p><b style=""color: red;"">Важно! </b>Для успешной работы плагина необходимо включить в обязательных полях профиля поле <b>Еmail</b> в Личном кабинете uLogin.</p>"
